"Data e Hora","Chuva (mm) - Último","Chuva (mm) - 1h","Chuva (mm) - 4h","Chuva (mm) - 24h","Chuva (mm) - 96h","Chuva (mm) - 30d","Nível do rio (m) - Último"
"01/11/2024 10:00","0.0","0.0","0.0","0.0","33.4","43.2","1.43"
"01/11/2024 09:45","Dado Nulo","0.0","0.0","0.0","33.6","43.2","Dado Nulo"
"01/11/2024 09:30","0.0","0.0","0.0","0.0","33.6","43.2","1.42"
"01/11/2024 09:15","0.0","0.0","0.0","0.0","33.8","43.2","1.41"
"01/11/2024 09:00","0.0","0.0","0.0","0.0","34.0","43.2","1.41"
"01/11/2024 08:45","0.0","0.0","0.0","0.0","34.0","43.2","1.42"
"01/11/2024 08:30","0.0","0.0","0.0","0.0","34.0","43.2","1.43"
"01/11/2024 08:15","0.0","0.0","0.0","0.0","34.2","43.2","1.44"
"01/11/2024 08:00","0.0","0.0","0.0","0.0","34.2","43.2","1.46"
"01/11/2024 07:45","0.0","0.0","0.0","0.0","34.2","43.2","1.47"
"01/11/2024 07:30","0.0","0.0","0.0","0.0","34.4","43.2","1.48"
"01/11/2024 07:15","0.0","0.0","0.0","0.0","34.4","43.2","1.48"
"01/11/2024 07:00","0.0","0.0","0.0","0.0","34.4","43.2","1.48"
"01/11/2024 06:45","0.0","0.0","0.0","0.0","34.4","43.2","1.49"
"01/11/2024 06:30","Dado Nulo","0.0","0.0","0.0","34.6","43.2","Dado Nulo"
"01/11/2024 06:15","0.0","0.0","0.0","0.0","34.6","43.2","1.49"
"01/11/2024 06:00","0.0","0.0","0.0","0.0","34.8","43.2","1.50"
"01/11/2024 05:45","0.0","0.0","0.0","0.0","34.8","43.2","1.50"
"01/11/2024 05:30","0.0","0.0","0.0","0.0","34.8","43.2","1.50"
"01/11/2024 05:15","0.0","0.0","0.0","0.0","34.8","43.2","1.51"
"01/11/2024 05:00","0.0","0.0","0.0","0.0","34.8","43.2","1.51"
"01/11/2024 04:45","0.0","0.0","0.0","0.0","34.8","43.2","1.51"
"01/11/2024 04:30","0.0","0.0","0.0","0.0","34.8","43.2","1.52"
"01/11/2024 04:15","0.0","0.0","0.0","0.0","34.8","43.2","1.52"
"01/11/2024 04:00","0.0","0.0","0.0","0.0","34.8","43.2","1.52"
"01/11/2024 03:45","0.0","0.0","0.0","0.0","34.8","43.2","1.52"
"01/11/2024 03:30","0.0","0.0","0.0","0.0","34.8","43.2","1.53"
"01/11/2024 03:15","Dado Nulo","0.0","0.0","0.0","34.8","43.2","Dado Nulo"
"01/11/2024 03:00","0.0","0.0","0.0","0.0","34.8","43.2","1.53"
"01/11/2024 02:45","0.0","0.0","0.0","0.0","34.8","43.2","1.53"
"01/11/2024 02:30","0.0","0.0","0.0","0.0","34.8","43.2","1.53"
"01/11/2024 02:15","0.0","0.0","0.0","0.0","34.8","43.2","1.54"
"01/11/2024 02:00","0.0","0.0","0.0","0.0","34.8","43.2","1.54"
"01/11/2024 01:45","0.0","0.0","0.0","0.0","34.8","43.2","1.54"
"01/11/2024 01:30","0.0","0.0","0.0","0.0","34.8","43.2","1.53"
"01/11/2024 01:15","0.0","0.0","0.0","0.0","34.8","43.2","1.53"
"01/11/2024 01:00","0.0","0.0","0.0","0.0","34.8","43.2","1.53"
"01/11/2024 00:45","0.0","0.0","0.0","0.0","34.8","43.2","1.52"
"01/11/2024 00:30","0.0","0.0","0.0","0.0","34.8","43.2","1.52"
"01/11/2024 00:15","0.0","0.0","0.0","0.0","34.8","43.2","1.51"
"01/11/2024 00:00","0.0","0.0","0.0","0.0","34.8","43.2","1.50"
"31/10/2024 23:45","0.0","0.0","0.0","0.0","34.8","43.2","1.49"
"31/10/2024 23:30","0.0","0.0","0.0","0.0","34.8","43.2","1.48"
"31/10/2024 23:15","0.0","0.0","0.0","0.0","34.8","43.2","1.48"
"31/10/2024 23:00","0.0","0.0","0.0","0.0","34.8","43.2","1.47"
"31/10/2024 22:45","Dado Nulo","0.0","0.0","0.0","34.8","43.2","Dado Nulo"
"31/10/2024 22:30","0.0","0.0","0.0","0.0","34.8","43.2","1.46"
"31/10/2024 22:15","Dado Nulo","0.0","0.0","0.0","34.8","43.2","Dado Nulo"
"31/10/2024 22:00","0.0","0.0","0.0","0.0","34.8","43.2","1.47"
"31/10/2024 21:45","0.0","0.0","0.0","0.0","34.8","43.2","1.49"
